,PM10,NO2,NO,NOX
176,10.0,12.99,4.87,24.53
177,28.0,34.02,7.21,45.53
178,15.0,17.5,8.1,24.04
179,27.0,32.42,8.14,45.36
180,22.0,8.83,1.53,11.69
181,21.0,2.51,2.51,8.4
182,11.0,12.09,2.76,16.79
183,23.0,14.22,2.85,19.06
184,27.0,16.23,7.45,27.97
185,5.0,14.28,0.37,14.56
186,22.0,8.35,0.57,9.7
187,8.0,4.34,2.25,7.82
188,19.0,1.46,2.1,6.59
189,22.0,13.62,3.3,14.09
190,10.0,26.85,2.4,31.92
191,33.0,20.73,1.96,26.48
192,19.0,14.48,0.09,14.33
193,46.0,19.21,3.47,20.76
194,11.0,38.04,5.28,46.59
195,21.0,20.12,1.24,22.34
196,16.0,19.45,2.33,23.48
197,21.0,17.09,3.93,23.58
198,16.0,4.71,0.0,5.18
199,11.0,5.14,1.31,8.94
200,19.0,14.62,2.47,18.87
201,12.0,7.26,0.6,9.76
202,3.0,13.1,1.35,15.63
203,0.5,2.51,0.14,3.19
204,14.0,2.85,0.16,3.56
205,13.0,13.86,3.45,19.62
206,13.0,20.1,5.91,31.12
207,45.0,22.72,3.27,31.65
208,14.0,17.71,1.41,16.09
209,22.0,26.29,4.73,34.0
210,11.0,15.6,2.86,21.34
211,12.0,7.26,1.25,12.55
212,11.0,10.76,3.82,17.08
213,2.0,6.35,0.7,7.89
214,30.0,15.77,0.8,17.46
215,19.0,21.16,2.67,26.82
216,56.0,19.21,4.22,27.44
217,66.0,8.26,1.35,11.22
218,9.0,9.02,0.86,10.8
219,32.0,5.82,0.34,6.8
220,62.0,64.22,12.1,83.22
221,4.0,17.81,9.81,33.31
222,52.0,14.17,1.43,17.91
223,20.0,6.15,0.62,1.33
224,31.0,11.45,2.2,11.15
225,38.0,21.39,2.43,26.51
226,54.0,6.25,0.15,7.25
227,17.0,7.81,0.98,9.77
228,23.0,1.65,0.0,2.12
229,11.0,5.67,1.38,9.27
230,14.0,14.59,2.95,19.58
231,8.0,25.62,2.4,29.75
232,21.0,11.13,3.0,15.56
233,20.0,31.69,14.62,55.76
234,3.0,2.51,1.22,5.33
235,34.0,26.07,2.92,32.21
236,38.0,3.51,0.0,3.98
237,41.0,11.32,0.82,13.03
238,15.0,29.67,5.95,41.46
239,22.0,15.83,2.52,21.04
240,30.0,10.37,3.96,16.3
241,11.0,14.54,3.03,15.21
242,28.0,15.06,1.05,17.14
243,9.0,10.49,8.83,24.66
244,39.0,20.54,1.52,24.29
245,10.0,9.29,0.98,11.26
246,25.0,6.92,0.02,7.42
247,19.0,25.49,0.86,27.27
248,36.0,31.73,3.3,37.96
249,32.0,13.15,2.77,18.53
250,17.0,9.52,1.22,13.12
251,9.0,5.22,0.6,7.99
252,22.0,20.84,2.34,25.02
253,10.0,7.17,1.2,10.8
254,17.0,21.7,4.82,29.56
255,6.0,19.57,4.88,27.52
256,10.0,12.18,3.69,19.76
257,52.0,10.18,1.06,12.28
258,15.0,16.34,1.33,18.84
259,13.0,14.62,4.56,22.07
260,3.0,18.27,5.39,22.76
261,10.0,10.72,4.88,20.64
262,22.0,1.78,2.12,5.5
263,23.0,12.15,1.01,15.09
264,27.0,10.31,1.27,12.72
265,67.0,22.2,1.37,24.77
266,6.0,9.02,3.03,15.46
267,8.0,18.12,10.5,29.63
268,22.0,19.34,0.25,20.18
269,19.0,32.91,2.22,35.47
270,34.0,3.36,0.07,3.92
271,3.0,1.82,0.36,2.84
272,12.0,2.6,0.08,3.19
273,21.0,5.67,0.78,7.33
274,61.0,16.13,2.39,20.25
275,6.0,15.31,5.84,25.46
276,26.0,10.46,4.7,19.06
277,7.0,15.64,3.74,23.17
278,38.0,22.83,1.94,29.73
279,26.0,5.91,0.56,7.23
