,PM10,NO2,NO,NOX
3762,45.53491275177256,25.720249396028084,4.72744389262408,34.08288031323857
3763,49.26057951853434,12.144921831103515,3.5397550542607625,18.519331873519388
3764,42.699177690357914,8.53618090812126,2.3334308187772317,13.31683875583493
3765,53.80991526859483,5.71347034400819,1.3095042365702587,9.267355507541337
3766,46.0,2.5985932264012925,0.07265074618345102,3.178966475410766
3767,43.0,6.185490189809844,0.6625799631938075,7.779050532623339
3768,42.52089748737948,5.581029477397899,0.17813462310692166,6.315626924621384
3769,52.85460270193265,10.560062972125914,1.6838599724108334,13.70481199886032
3770,39.69893569423456,16.007425274886664,4.326824613258459,23.164617297343955
3771,73.57976227726223,3.641721145133525,0.25927979356728936,4.499989052563926
3772,50.939773863584435,11.29312437502856,1.1188077840467703,13.474228136324172
3773,49.78670888060337,8.783139274637792,2.638702548512862,14.889924077620579
3774,45.09939171014321,6.15131871536039,1.5108516057995123,8.92862045565393
3775,46.0,2.0196114966737455,0.40176674713475435,3.1022616173758775
3776,44.95201204175584,7.403204214614545,2.2268883088115325,12.557168089347012
3777,41.0,9.004187557345881,1.4764066800941074,11.761703798814102
3778,59.09830557664956,16.960406564863028,1.9779662082740703,21.289592951431576
3779,52.58867274227668,9.385291797926483,1.1541876387642687,11.626573256072886
3780,52.3190580235279,1.7713284766996742,0.2565739256466963,3.8068312691733137
3781,41.153850192861846,5.383847567501645,0.04076951350032899,5.910771088716447
3782,46.200886346480594,20.49711937393806,2.9549927080582683,25.637237742026684
3783,47.0,18.88771848650619,3.0661683570386624,25.12670193107221
3784,40.0,12.524728719636313,2.2104959452657056,17.969393584198848
3785,42.0,14.248395884364372,3.3637659932222355,21.05727196395376
3786,40.77750184508467,9.038875092254234,1.738788173455904,12.297775018450848
3787,50.57391721325001,16.638439348508765,5.088081348178732,25.47373341784748
3788,55.9552471878876,18.491418886275195,4.063025163166667,28.412870781831398
3789,40.31919898701033,9.015959949350517,1.5715076302587712,12.293191989870104
3790,64.16790083053183,5.566814220881804,1.1118271079691393,9.424542813921203
3791,41.253351624081475,21.13667581204074,4.4702544118654135,28.858913762232824
3792,57.0,14.019348677627988,1.2118401001323131,18.520881486791826
3793,37.68141273261145,3.3117927306570105,1.0903763858964985,7.154668213516242
3794,75.8467834428039,3.4939718486049327,0.7793566885607804,6.181316755283547
3795,49.56697006737366,15.753784178053683,3.6050455101060486,21.680572205003145
3796,52.12219524460592,11.777829035248761,2.6813220027344844,16.49778047553941
3797,40.16438708989262,11.774659351294698,4.588356129101074,20.4912335470796
3798,94.70192453222221,14.750096550934918,0.7078364688150798,16.703798194386508
3799,51.72812041146214,10.065882525202081,1.089906754739164,12.733629955620883
3800,40.61340494151794,19.69356047338851,4.961415466814669,28.150128678801334
3801,92.22102554541907,10.055952727965659,0.43442051090838135,11.191025545419066
3802,44.688410461538794,8.553153923077048,0.7056871230768311,10.104021529230755
3803,52.933449514288206,9.389386776572575,0.9880731940015705,11.374167300575019
3804,50.0,11.878459115923127,3.5610185060590944,18.516135975575306
3805,53.30840702738374,5.586070746288385,0.5580398538435966,8.079911567139519
3806,61.6550763327604,15.167037790842212,1.6628652706359568,19.03810878439326
3807,51.361251742292126,11.5490013938337,1.17,13.80538887641078
3808,59.897593609624295,27.10471592613549,5.231016375434573,36.1929315027731
3809,76.4935545282388,5.72294642363821,0.4040516726077603,7.254327984850148
3810,44.44338377561158,7.609249516292062,2.4269848673165253,12.947653088681228
3811,51.27290094999932,0.5417986431250769,0.16364027137498463,2.8455248847497234
3812,46.79636534024624,14.802945011535977,4.10102051613735,21.82105545703174
3813,60.230787734595054,7.4953830425594195,0.5230667459727185,9.21535658208849
3814,42.0,9.843054735268188,2.1407108791166576,15.37950109757314
3815,71.29003814736481,4.316153460214924,0.3980958037898702,5.386846975162905
3816,41.31047514529317,9.950361768888111,1.8724190058117267,13.962035597250669
3817,74.53968866183236,5.979141891561806,0.34087353625575095,6.9669998609091754
3818,39.331535432158645,8.953315354321585,1.1115498030903121,12.127493701207023
3819,47.689663841398605,13.358258870858739,2.7031234736307708,18.89688406838601
3820,53.12999166686913,4.788386000340143,0.3849022499453343,5.492583167075647
3821,46.47906013440986,11.519632338171462,1.1198825168012334,14.010066347715503
3822,44.259043802265744,2.6869896364984642,2.1877713140679727,7.427842199217359
3823,50.0,10.940240536297978,1.5180068826923803,15.02581660452936
3824,46.552288940981114,23.04886496697433,0.9202939953116996,24.595392686982635
3825,53.0,13.360664847042525,1.1728875433115857,15.992102861713173
3826,83.51537766456593,11.575304039266321,1.1747685820261542,15.425917137834674
3827,53.0,26.003898475417667,1.8398958282275184,30.248213637925264
3828,50.93005486950402,15.399023639720957,2.43649556460545,19.980415363461127
3829,49.0,5.643563691387029,0.809308925838914,7.3575270801454
3830,51.0,9.102763012091453,3.4515634160322772,15.831660098074417
3831,43.17557108874425,2.1029771564502298,0.14015291491347776,2.7773286733767253
3832,37.858280326290554,3.3413535882857555,0.038264311901551246,3.8694586545066296
3833,37.05469894672888,2.611963999392432,0.09453010532711242,3.2143061468503893
3834,47.0,5.29125322140041,0.5346840281591675,7.405953248503957
3835,57.0,3.4142697932090322,0.037484774454590704,3.938245432336377
3836,48.58371585996552,8.101307091632409,0.07502295159793133,8.683841519029306
3837,41.0193807616837,20.78434176364594,4.2837981562612155,27.501047034159708
3838,49.119728344807484,12.241333111044334,0.04711578689031942,12.777605433103849
3839,40.09221621376793,12.958993515398696,2.2391026992750964,18.516683240941852
3840,45.02621488767171,6.069360674192317,1.6132991572596038,9.003260814574853
3841,66.08446693638086,6.410022131687368,0.49223346819043384,7.7390920368148075
3842,46.22193660308461,4.431353887378086,0.8944901435064633,6.265869736606934
3843,52.158369066910254,13.972038666362183,1.5171029868006398,17.783304746471796
3844,52.0,18.220294317671343,3.062071128747866,23.52
3845,46.28468875913271,3.1834447824888272,0.6483970890525617,4.637463859863333
3846,38.41138997563236,1.7049343766070695,0.19348069683220734,2.461326271489866
3847,42.200859156599165,5.746283521677723,0.12209450722590795,6.4004295782995815
3848,52.57674327992248,24.776416049381407,2.3802337361007693,31.637910012259674
3849,47.11929964789835,12.322860329230702,3.0933163573988334,18.29743891901662
3850,42.0,10.673509160579862,3.0062771908633397,15.269607018195895
3851,52.99335427149694,8.835250125517417,1.2189366834395103,11.178440075198887
3852,39.0,13.782229807731305,2.527481643392096,19.121845935370818
3853,42.002664782793474,3.1899467043441305,0.22007994348380416,3.9950666195698368
3854,49.68533325688076,11.173919983944959,1.3015733337155964,14.92919998279817
3855,51.21320252875622,10.910347852839802,1.1465477218368159,13.289741268943283
3856,52.0,12.031749635292453,1.9949106494603592,15.553016047132049
3857,45.73608646816569,6.86441684434557,0.6194789445680384,8.279191802470999
3858,58.0,3.649677333398511,0.11666935555501241,4.29968136673103
3859,44.00640175655328,25.593815675037643,4.0789370802802685,33.338360922190475
3860,46.24215958939866,24.707425168450957,8.947717349533182,38.89560222494931
3861,58.0,3.2637280374774726,0.03643274651023085,3.7933771572428188
3862,41.94154135831097,3.5866165433243884,0.25590789508176803,4.450186092738596
3863,47.0,18.45498866935893,3.171981019309746,23.287354108663912
3864,44.400408682668825,7.623861047892599,2.439877395199352,12.98761992511799
3865,41.0,20.773534255300326,4.295154122312977,27.514150744552232
3866,69.46821564148,6.462554492673194,0.6126771956643993,8.10353216929639
3867,41.43121523532088,4.286853869968153,0.42494758175694514,5.407119166426968
3868,47.0,19.4213032639982,2.5464194659380066,24.50796201768194
3869,53.84589200762661,14.724350927702874,0.7306173644234318,16.31565373456682
3870,43.0,2.8900388914118755,0.3899805542940623,3.956721119291725
3871,62.37684611920319,14.384902332981667,1.8980276354932413,18.5771176760255
3872,41.0,4.876261042015955,0.5510100800267015,6.08828327942592
3873,41.0,6.773156980017918,1.3176790881003388,8.759675612168426
3874,39.32692488406038,8.198844599708073,0.7044237094211331,9.745384037100678
3875,40.0,8.504575016978006,0.4101719164127667,9.60147090552836
3876,44.277124656233795,10.77793412470516,1.7903661503078012,13.823594179707753
3877,41.0,6.739482865089885,1.129104044503355,8.443138931844917
3878,43.87892841346634,7.845960826438899,2.4691963100997545,13.317624944713218
3879,51.966082171356895,4.647543837148232,0.2028772559849484,5.209321643427138
3880,39.747433999981574,12.061458919974577,0.3309237600066321,13.022895879984894
3881,45.87741151120358,2.153291812871319,0.3530305324647883,3.1616117266805377
3882,49.85318794208068,12.981648492760085,2.9752348939006366,17.995968954190236
3883,66.64056531213267,8.810886168434093,1.0937738751469332,11.969461415195221
3884,37.61775084073664,3.146863298699807,0.03822491592633612,3.6703781809966776
3885,57.05895806448123,3.310566709683003,0.10528335484150163,3.9434917419452558
3886,42.5386149243823,25.978971163371572,2.5807324181482483,32.185346268904425
3887,46.429352991092564,14.127994760290896,4.779452906235205,21.918587059821853
3888,49.677842121315,15.553105760419852,3.6216763181972498,21.52424260894585
3889,46.61948910521467,8.708236513668693,0.9799773111074256,10.67652036164732
3890,49.15679190229392,12.194739886898917,3.5298952307179223,18.513623554626164
3891,52.455269334797855,12.884037495984117,0.7465995186379953,14.487555040571163
3892,46.0,2.755654768049285,0.014377073839834309,3.247220378809036
3893,39.857773519214795,5.238803257800681,1.8631977003759896,9.900843571439033
3894,52.71786010177413,27.75680766955488,2.357368445972594,31.824271038004902
3895,50.547958687564986,11.137929161797665,3.812744714399045,17.73258238177687
3896,44.29903841864384,1.7635095488979458,1.5160480344573974,6.958913368457123
3897,42.476353995433,24.097704077625163,7.482834911720808,36.164930017504524
3898,44.3378381863883,5.224188997486435,0.5495943052977105,5.9840533360401
3899,51.798348312715916,9.881555502819552,1.1971231473531785,12.479635170411244
3900,57.213629513945214,6.912247362868907,1.1553407378486302,9.275765809084666
3901,42.20794996638741,3.1858410006722515,0.22623849899162238,4.0001987491596855
3902,41.0,9.58388284821405,1.844831760382049,12.871130488787124
3903,40.837801741444125,7.712158191558855,1.6102413931553006,10.644276316120687
3904,76.58779426227274,5.697448401659076,0.8192897458954591,8.377583844259094
3905,43.35903822927677,5.794577062433938,0.432603702151597,6.756915412486787
3906,73.97810883494735,4.6116950130968,0.29313925097052485,5.523739705814693
3907,38.827513138193204,2.263100525527728,0.23205289040250526,3.084454992513418
3908,49.0,7.455768834840974,0.21351717141984428,8.249592003577611
3909,47.0,9.698342389049179,0.30633249286885283,9.84316867313115
3910,52.532679081731246,9.775163897884253,1.0440196275480627,11.84852994379769
3911,40.460539015198826,7.274595738600881,1.36369589398292,9.594475462127836
3912,45.127060307043514,7.558495734677431,2.1863050219147615,12.318186929801707
3913,46.000288565080645,14.491064805147573,5.109492125458069,22.979988457396775
3914,49.34915902067067,23.857190748745992,3.759110092714721,30.64504472546622
3915,83.69470415035288,10.862212156618618,0.9147041503528764,13.88915952075488
3916,43.87128152014507,5.420297478388394,0.7553432816841406,6.634948532050775
3917,50.77840914250645,15.063409097100774,3.4092329372603407,20.762528388709956
3918,45.811882560371174,2.2804939517030602,0.3103965473373347,3.22326701111463
3919,77.19002500966069,20.663004561042847,4.197731940180843,27.57225687765669
3920,38.0,6.856491265898668,0.8289750632791578,9.295931012571694
3921,46.0,1.8765083527155868,0.3767816932656982,2.9127297484432404
3922,51.942871917853324,8.859454575421847,0.4514152739320103,10.008862609605728
3923,45.219110322573464,3.6802142322662488,0.07808896774265339,4.267347683880228
3924,51.337227586227705,7.732570206910286,0.5715187586288056,10.105825655185733
3925,60.71705683608726,16.253551848241894,2.3286956478189063,20.4046755962723
3926,52.91158054662194,10.022464741155721,3.0544209726689027,16.30654923954767
3927,47.73675261422595,10.760804741405884,2.5780504512468454,16.3494360979749
3928,55.152986077906256,6.18354512726719,1.242350696104687,9.180055904936093
3929,47.271940843752375,6.328071718125333,2.0748207046866676,11.611149717189521
3930,64.65319831056787,8.681930351306002,2.2642089460819905,12.914119043973175
3931,51.6140628178879,15.163687538146549,3.129288956007553,20.43244518693428
3932,49.93323749805557,24.50261299891112,0.7021322526833109,26.07385881639858
3933,46.10752254144916,7.0750571922551675,0.24892477458550843,7.921831516011692
3934,44.7403835580717,14.368797257505566,2.1759616441928302,19.142066297958472
3935,47.12486490634305,14.465264783567617,1.398437933652451,19.710194534866005
3936,53.66790144045447,9.03595667173868,1.6678458756340204,12.014339673970394
3937,44.26940434995577,10.917856475556171,0.6410920909177344,12.211322219457097
3938,42.0,26.671666540808012,9.661504828296454,36.699588230852044
3939,40.701486897598095,11.889843753021637,3.357758317775028,19.925234370467546
3940,41.0,20.57741831727041,4.708302370957304,30.655419618046444
3941,50.44316322087348,16.70798207287573,5.7292668498423245,26.57686170292454
3942,52.85394338559329,10.387507567372745,2.9886562219491823,16.424605661440673
3943,51.90945180816945,6.102366748417564,0.272835542450835,6.981620062093817
3944,44.0,4.331013714631839,1.353968160160798,6.827487333971187
3945,40.14783651252811,11.774266812141022,4.4303365664696415,20.298858201344363
3946,51.0,7.91299854496514,0.5911244543619273,9.478605652014753
3947,42.13571469704097,5.724785850023519,0.11492861667450625,6.367857348520483
3948,48.79215146888488,11.393292256765283,0.6581975887122337,12.476155595187945
3949,52.509555521278585,9.792737803828272,1.0447133343616424,11.867260027764344
3950,45.53752289725438,3.3172238971300096,0.04624771027456225,3.856595462541853
3951,39.018894312376304,16.836690067979948,0.3832539897822919,17.919825042435676
3952,53.207392217230456,20.56088296471988,0.9042094624735846,22.59921976479919
3953,57.59093495966633,3.2254504064533873,0.06272520322669355,3.7945382112934274
3954,57.19345880703265,3.5386084519468923,0.11,4.178608451946892
3955,53.44805644085841,19.337456075811062,1.2631871646215047,23.01884078343699
3956,50.81118230310995,17.116498550363563,2.3255911515549754,21.251182303109953
3957,37.801398319317,0.39212584873853024,0.011986016806829976,0.6176644033639194
3958,52.77289141732592,5.505753153540375,0.6400722236234053,8.157029928350438
3959,47.29788723996761,23.371336231285987,0.8531901484029154,24.886176023587367
3960,51.54825198097372,9.126776220285393,3.036755277336321,15.226447559429213
3961,37.621709394545306,2.2640461544909223,0.13322393320003217,2.9326649603455177
3962,37.0,7.8586937462910855,1.0433806142048798,9.924584138894902
3963,44.85925096035805,9.957627720882352,1.985925096035805,12.867922855332479
3964,46.25582349529187,10.001172905009382,0.49859825815444775,11.419742442335304
3965,42.17551880057411,3.53277172774739,0.25824481199425886,4.399261351735908
3966,79.47593566301066,21.21146495435639,4.584823569551421,28.84577513070737
3967,86.43006575495458,12.493060798851893,1.103703996012888,16.036141021649904
3968,47.26407064397887,6.263051389188557,0.34826896403133745,7.250736248115141
3969,45.0,9.627390415649895,2.1661960594937977,13.579747993748105
3970,47.10785713884853,8.810585715007264,0.49499285918724867,10.03645714670541
3971,49.01107650397584,15.709650379106195,1.4368362860432782,19.423606774115758
3972,56.73493596003905,3.0126443340644324,0.3227755671539212,4.719890839083632
3973,47.193726684872324,18.70465570340405,2.9288439028578805,21.627441391007224
3974,40.0,7.691962785881053,0.8518455872957098,9.465233492707052
3975,43.933592832897915,5.449844300261251,0.7888275563967074,6.6879688600522496
3976,42.49562813321023,21.89163366257188,4.416065319889208,26.94483670027698
3977,42.57861083883466,12.521739803016168,0.7041499509902396,14.063750837889874
3978,84.88459723981052,29.5914498169176,3.7748403112189886,37.21959488098589
3979,62.62238032491312,19.412278687468973,1.6067140974739356,23.902349833679875
3980,39.0,14.630909884634125,3.2990089860310228,20.34343089454912
3981,44.0,7.329302693614948,1.9420429951866647,14.433622270988824
3982,77.7293653452469,18.03297271543302,2.6479250325737613,23.5846596687216
3983,39.88304570203672,8.718422339549914,0.41339085959265576,9.823508628938898
3984,41.0,9.10495683955901,1.3118855077848575,11.627042256999742
3985,40.858156254367636,6.847659371069125,1.0086525003494111,8.4401415569531
3986,48.11466324993385,8.542216545062184,0.04687979499603088,9.08253623755623
3987,46.0,2.9370906811751967,0.5515900544069876,4.243668930359128
3988,53.668959396343425,5.932201020489685,0.3453139561573812,7.647248724387894
3989,42.87570834404863,25.75017000257167,3.3667812580364735,32.74909708858383
3990,55.38605503802439,7.427159635930977,0.3672366934418284,8.454770639259147
3991,73.47330297565713,3.382492745725105,0.25023075293085584,4.226388647438817
3992,51.057426621270956,28.797345984003535,2.694989920341573,33.37954373140954
3993,75.98069359728574,6.114837321795751,0.14045048272999935,6.795480868552893
3994,45.0,15.048081310843155,1.8016836163857002,20.393970752770628
3995,47.93769583103504,6.410466376861618,2.2444866236899728,11.514671003861134
3996,41.727906439748246,21.373953219874124,4.152302685368673,28.351140109469373
3997,38.56133358981679,4.094200038472518,0.876257776067888,6.722826594851298
3998,61.669724205380504,18.179356068464344,1.7403675207809108,22.359631246948588
3999,43.19522101695966,2.804936698285438,0.43936438645086895,4.467056128837618
4000,50.0,10.91527091930725,5.8230645741526565,20.668097084469526
4001,52.332430384648916,5.924191134583529,0.4462693692455235,7.588835196197103
4002,46.43109144478946,10.029608554128677,0.7152646017028936,12.133109144478945
4003,40.306086082117275,11.847634332290399,4.586939139178827,20.518156355602283
4004,47.40003452704487,27.89395718646436,3.802063184492117,34.17405386219
4005,53.10045742863794,5.386439131492418,0.6807301171036182,8.329451085634478
4006,43.0,5.573285061894001,0.24359345677738456,6.405276882865731
4007,47.0,4.086705060904961,0.7159284042357383,6.132242029136924
4008,46.702484287787726,1.7014845844494888,0.2781397782707802,2.59693804113619
4009,42.566810308992956,26.00195040182926,2.5739655258416905,32.17829742275176
4010,39.124600572564766,11.201948790139376,0.5551437938766842,12.512172469503108
4011,44.81969107774197,9.596359149287034,2.218208468200021,14.21918146466452
4012,46.0,21.707282266296858,2.139146512841883,25.32993154168403
4013,59.36471969524757,7.5689988259039565,0.9994041676138371,10.527449661699933
4014,47.6726413028928,8.708924565479297,0.20695293552467411,9.494264349222917
4015,41.0218092330266,17.46958842451631,2.3730855398159614,21.59953156814723
4016,39.1774780448773,8.951774780448773,1.1015360729170245,12.198360099356442
4017,39.0,4.427047898284696,0.6632118564581477,2.6219726498990585
4018,55.3086346900399,21.705828768955946,3.2036929943586587,28.10371069756169
4019,49.878877096294374,8.02571653570459,0.6137740500743722,10.366477234074893
4020,48.298381619247586,7.338142258201219,0.1877022975940521,8.091449750544179
4021,47.0,27.267294420677644,3.502850343835125,34.636634717336094
4022,42.5870409642416,8.560850987866848,2.528548722219618,13.43121821647357
4023,47.44761460454474,27.834957890364525,3.8891347263168687,34.24827878308979
4024,37.66075112666141,6.985678918405045,1.036409414136066,9.75068923387024
4025,44.93045445043311,2.004868188469682,0.16748180107796015,2.720743162338788
4026,38.07845500149675,8.263735650643603,2.2059022012572695,11.58946280323298
4027,45.0,6.005443423971672,2.631499706835722,11.636991010408362
4028,83.32532087869318,9.691267185457367,0.5453208786931755,11.52880041484939
4029,48.52871691417775,7.312957246676842,1.8887331988431075,12.621250516491536
4030,37.0,8.12424256829871,0.6688886857325882,9.618181651963027
4031,50.39854820504349,11.247970964100869,1.2481887333443464,14.410148656535638
4032,38.754682110471684,8.68280926628301,1.5287074905179372,11.352078610057548
4033,40.484077595504175,11.882355420900446,0.5207650053924231,13.133184480899164
4034,41.0,9.049667920235082,1.2742419882451617,11.517640778337501
4035,58.0,3.41700127150421,0.04593806334909831,3.9609083665278577
4036,42.972917167255254,7.917427130889249,1.177718607332253,10.189208163133214
4037,42.58101530358926,24.993845614626096,2.818456190003328,32.190239915531734
4038,51.0,4.53610971228875,0.09940015551959441,5.155209945568142
4039,78.15732216329545,18.826832612913044,3.3390752937221366,25.095347236432907
4040,44.864412480317355,8.971707456698182,2.2269534850411903,14.345249391730249
4041,46.0,2.7666798035851166,0.013426779754023677,3.2571733095254687
4042,54.2817392579461,17.93,1.9974782959351765,23.90980856431552
4043,51.32691176350467,17.639217645665415,2.28269705932804,22.119976468089707
4044,41.0,20.500970682074588,4.720373050198749,30.9249981211054
4045,59.0418507642324,17.20812371356417,2.8090792831868874,24.567828425563
4046,39.886112665098736,13.988500839153318,1.9875828205174169,19.66927942500466
4047,52.76632368853122,9.878660451645908,3.061683815573439,16.136598715581528
4048,46.0,1.8020282690103056,0.40014799403598256,2.874759509691528
4049,49.190441416279405,28.41566942700043,4.1729113906041295,36.296749429255016
4050,58.79657974649113,7.099486961973669,0.6783978165460779,8.60636361401099
4051,45.0,5.868045999331752,1.973846701258534,9.68629110255048
4052,52.0,18.34373268536942,2.405603445989901,23.52
4053,48.0,23.35850962566384,3.6600741571945115,30.213339211830963
4054,45.0,5.5359733350823745,2.754794881695538,11.373803233303756
4055,48.41909821391677,16.19038468712552,3.7697877680157905,22.32025200882711
4056,53.70787154227017,14.584950257692874,0.6505654945166996,16.05203464573603
4057,38.0,2.1487030714577804,0.057952960400869315,2.7001906809257026
4058,40.91252798240947,20.82455932270809,4.706478733368798,29.047776303464907
4059,37.1509063162933,3.467545315814665,0.9764577362626994,6.688608851024357
4060,41.89276727502983,14.96910381369182,3.0640157432210597,21.26725788796181
4061,37.925387972605556,7.317296072051497,0.7334401065767235,8.902083171779609
4062,44.0,1.7699371284009966,1.55920273929696,6.57500214007575
4063,45.0,5.450712645778689,2.7771865778763036,11.32600557414866
4064,58.0,2.856840061572607,0.10397290123959332,3.4877994134319974
4065,37.203320720372865,7.424812108442053,1.2742732254061115,10.061741910146454
4066,45.632667421910234,14.614286719533718,1.821012940606677,19.54816685547756
4067,39.0,7.486372235658803,2.798276991327815,12.61081062041501
4068,50.9119042333154,23.770214587010223,3.0048689868312706,31.64407049296825
4069,57.27696949006116,3.7269694900611645,0.03769694900611645,4.251284608470951
4070,38.69611633092361,2.2642379866988542,1.4213786129477777,5.456922505767153
4071,47.78553170647723,6.344987219453406,2.2564084877124952,11.403565951194317
4072,43.70110395584482,25.231973551058577,6.454688592454058,36.19916996320125
4073,83.35722336911056,27.910567535084816,3.6455519446752462,35.1722740916502
4074,43.0,2.0684969670967392,0.8007515164516303,3.771030136398578
4075,61.466247657679126,19.16543935429093,1.844858584466706,23.025062246202143
4076,51.08300944635128,9.13375485830473,2.9716213224891788,15.212490283390538
4077,45.425038743833596,2.938500774876672,0.26077285886182033,3.801035644326906
4078,56.00540422514703,6.637711483528426,0.8184680750490099,8.459927215838707
4079,43.61936646889037,8.15226242583389,0.9996742210551481,10.152128508899933
4080,65.55088756761859,8.849499012622138,1.7615029621335867,12.713635109898515
4081,47.2856295326601,26.25703691582513,4.278497693414291,35.71721489723891
4082,50.6728480872729,8.49225853541829,1.7776224699636165,13.359966775999952
4083,49.033099343623654,15.649307798471195,1.4703110023079498,19.391012971436997
4084,44.467440510282565,3.8687173522488028,1.712559489717433,7.289045850038457
4085,42.2481223262829,8.334662018730922,2.216013943807232,13.213006971903615
4086,76.64695009435783,5.593327170267633,0.486118300481439,7.38931608303489
4087,47.5408845967664,10.968491916932912,0.475978445154432,10.995294562881249
4088,47.0,5.826303095504753,0.35912460267030694,7.217490292923918
4089,50.279988768858495,3.748394047495002,0.13479539523198275,4.421987084187268
4090,46.26588924586769,5.085306180268458,0.7465364203512938,6.690804687190029
4091,41.3795008879613,6.0709144405843825,0.3916345826581904,5.915290550536004
4092,57.0,15.426145755162883,0.6852484817170533,18.385082827239017
4093,47.0,9.730824209891646,2.7934610698781066,15.498771289191874
4094,58.0,2.7647084673841746,0.0656118497852095,3.338126242061989
4095,52.52111305897276,9.20832068341152,1.1433780894356416,11.778186415104594
4096,53.37503064827133,20.626261952825818,1.0450257445479156,23.03507968550545
4097,55.34181494353711,19.20341814943537,3.6901610295473715,27.377472419636025
4098,44.0,2.5947932951886825,2.154587641639951,7.040146595031212
4099,53.19805336745966,14.595308945448178,1.0645937229248055,17.131265311151225
4100,46.91172376446002,12.18557226813941,4.631682004209248,15.908000541532965
4101,51.07880380190188,11.3230430415215,1.17,13.58225500350248
4102,57.06830439146511,3.309071297365582,0.10453564868279087,3.940874770389768
4103,47.45174242684874,15.598163385827874,4.340576513770167,22.738042928858544
4104,38.27593384766168,2.060020815821888,0.31344396914029904,3.0051867695323367
4105,43.95791247918049,5.443249141447414,0.8245286222934636,6.729663274567022
4106,49.32991762078142,12.138340365817104,0.11227446244224115,12.773401647584372
4107,39.79079328092894,17.43552403144264,3.6458364210182994,23.64943688704784
4108,63.40683154724211,20.139611294388423,2.320372190234951,25.70720373747706
4109,48.65346308879709,8.50623812046464,0.5039587930459333,10.199402418523459
4110,40.0,12.958201227836476,2.242881309675774,18.53876978171041
4111,46.64669409241094,2.0459297679865776,0.735681750826018,3.639152805611769
4112,50.263716615077584,18.142194658412414,2.063663724113822,23.184318545581668
4113,46.0,2.109655448040735,0.38401160179478466,3.165672850732912
4114,49.90063500111528,11.837695199464664,3.602050800089222,18.557019050033457
4115,77.52377169654642,17.651596497093596,2.3158912899224586,22.85891408880884
4116,52.500571896287646,13.544285129640443,1.705314542958205,17.509542482969884
4117,44.25498267934268,10.802068879516474,1.7839449770093787,13.851271650821644
4118,54.039278014167984,23.899434670206734,4.317879443252852,33.50882165957496
4119,53.0,5.313633678016825,0.8429753113590226,8.596866427675982
4120,64.42736749909301,5.861332165517808,1.0700561833756597,9.705886757387036
4121,43.9975519887149,25.59545288208774,4.073494473059667,33.33371479407533
4122,48.0,23.38679006117752,3.5266642766190954,30.092225172783234
4123,39.0,8.675043360742627,1.0023773912844107,10.67475478256882
4124,48.68943286028426,8.728144454127104,0.7965850709573601,11.305232194282636
4125,44.90639336246955,22.863218155421585,3.2788926305653927,31.704291849767657
4126,46.32167545711036,6.001712069271903,2.37688898558134,11.359650263713311
4127,56.46882116521664,5.904110180695147,1.3012471533913346,10.852193904869498
4128,94.3415098174237,7.256420562963093,0.06010240834634516,7.812514875743434
4129,68.67100052682997,29.056068234054518,3.057181191345787,35.59782296255957
4130,41.0,10.76379991586736,1.2302468705659195,13.104948947507236
4131,47.0,6.945287902866982,1.8274631416831688,12.653343538525611
4132,52.25937292886112,6.029907927622496,0.5723415753041727,7.720245526340013
4133,52.62597449202134,4.5980519130983994,0.34145464332448183,5.222519489840427
4134,38.0,4.723462518168446,0.7789857195974195,1.2291892744872726
4135,40.0,10.11025510867769,0.7357001933656004,6.941670129151631
4136,45.434831514458146,9.426539345204931,2.371308993873524,14.475679805668852
4137,45.0,5.725785707846395,2.7049451676363003,11.480213199853281
4138,46.63738071272293,14.811533400437579,1.2060941111284231,20.065870354329377
4139,52.00323666608283,8.172136199614668,0.831262299772304,10.532071466293011
4140,41.0,21.089078489054614,3.5592606495869394,27.970182160532325
4141,46.66361702827005,4.6000914891518985,0.7309148915189835,7.020985111767942
4142,53.0,12.07602301952686,1.1227505776931324,14.255777128644747
4143,51.13683607069738,16.979486055070378,2.499364921004479,21.281270157991045
4144,44.0,1.781218062594909,1.5673453684895584,6.581363569132467
4145,80.9210776776327,13.96325332335449,1.329961511513118,18.114004058091282
4146,50.73394819866661,16.813673277539937,4.872839672793412,25.254490967826747
4147,41.80890988421623,21.26922645411245,4.1209611914691795,28.77658793418914
4148,41.93957190645695,21.479785953228475,4.010486822673846,28.124658060091065
4149,42.31196505247437,5.62072664002987,0.1467947578711551,6.3093589515742305
4150,50.21562914390792,3.714283446271197,0.10840794900224665,4.347973515494107
4151,45.1028153300022,21.4879395590325,3.369991731265095,25.81
4152,52.0,18.211234153629977,3.1102547284223965,23.52
4153,82.2936947437527,29.024014835897052,3.44182196923537,36.150744080775844
4154,42.86546026135744,6.234980332047066,0.7215263581828095,7.8869079477285124
4155,39.93658489894085,14.259464735997387,0.4904877348411279,15.465513413764375
4156,39.13007073528265,13.447566047064328,2.257887975001949,18.690978779415204
4157,46.0,11.792740097983886,2.67822029395166,17.833610412661038
4158,81.49653262180257,13.564545254893929,1.3094095492213365,17.68898947789724
4159,79.73640586415071,7.485106111094258,0.18270178130457962,8.223821060388055
4160,41.43839492223079,6.0338111989945995,0.363954386551527,5.951804851783091
4161,42.808100775344,3.1738379844931197,0.24424302326032005,4.0152025193836
