5/3/21 8.00 PM;11.72;32.38;1.75;35.53;23;30;0;0;0;0;0;14;12;0;0
5/3/21 10.00 PM;27.84;22.45;1.17;24.70;56;30;13;0;0;0;0;14;12;24;0
6/3/21 12.00 AM;26.62;10.31;1.27;12.72;53;0;0;0;0;0;0;14;12;0;0
6/3/21 2.00 AM;23.20;7.71;0.20;8.48;46;0;0;0;0;0;0;0;12;24;43
6/3/21 4.00 AM;24.18;4.74;0.04;5.26;48;30;0;8;8;0;0;0;12;0;43
6/3/21 6.00 AM;25.64;7.12;0.37;8.16;51;30;0;8;8;0;0;14;0;0;43
6/3/21 8.00 AM;25.40;21.23;2.82;26.01;51;30;0;8;8;0;0;14;0;0;43
6/3/21 10.00 AM;32.23;15.09;1.47;17.81;64;0;0;0;0;0;0;0;0;24;43
6/3/21 12.00 PM;48.35;12.75;3.42;18.45;97;0;0;0;0;0;0;0;0;0;43
6/3/21 2.00 PM;35.16;10.54;3.15;15.84;70;30;0;0;0;0;0;0;0;24;43
6/3/21 4.00 PM;56.90;6.83;1.15;9.06;114;30;0;0;0;0;0;14;0;0;43
6/3/21 6.00 PM;78.88;20.39;4.70;28.07;158;30;0;0;0;0;0;0;12;24;43
6/3/21 8.00 PM;39.32;43.10;13.08;63.62;79;0;0;0;0;0;0;14;0;0;43
6/3/21 10.00 PM;19.54;20.23;2.46;24.46;39;0;0;0;0;0;0;0;0;24;43
7/3/21 12.00 AM;9.77;7.43;0.26;8.30;20;0;0;0;0;0;0;0;0;0;0
7/3/21 2.00 AM;4.88;5.52;0.19;6.28;10;0;0;0;0;0;0;0;0;24;0
7/3/21 4.00 AM;2.44;2.96;0.09;3.56;5;0;0;0;0;0;0;0;0;0;0
7/3/21 6.00 AM;1.22;5.57;0.12;6.21;3;0;0;0;0;0;0;0;0;24;0
7/3/21 8.00 AM;0.98;8.18;0.81;9.89;5;0;0;0;0;0;0;0;0;0;0
7/3/21 10.00 AM;16.36;8.11;1.07;10.22;33;0;0;0;0;0;0;0;0;0;43
7/3/21 12.00 PM;10.50;10.14;2.94;15.11;21;0;0;0;0;0;0;0;0;24;43
7/3/21 2.00 PM;15.63;11.92;2.90;16.83;31;0;0;0;0;0;0;0;0;24;43
7/3/21 4.00 PM;49.33;5.56;1.06;7.65;99;30;0;0;0;0;0;0;0;0;43
7/3/21 6.00 PM;62.52;13.93;2.92;18.87;125;30;0;0;0;0;0;0;0;24;43
7/3/21 8.00 PM;31.26;26.19;2.89;31.08;63;0;0;8;8;0;0;0;0;0;0
7/3/21 10.00 PM;15.63;26.86;1.26;29.25;31;0;0;0;0;0;0;0;0;24;0
8/3/21 12.00 AM;11.97;13.71;0.17;14.44;24;0;0;0;0;0;0;0;0;0;0
8/3/21 2.00 AM;23.69;5.87;0.05;6.41;47;0;0;0;0;0;0;0;0;24;43
8/3/21 4.00 AM;23.69;6.28;1.11;8.45;47;0;0;0;0;0;0;0;0;0;0
8/3/21 6.00 AM;19.05;13.99;3.25;19.44;38;0;0;0;0;0;0;0;0;0;43
8/3/21 8.00 AM;23.69;41.92;32.78;92.64;47;0;0;0;0;0;0;0;0;0;0
8/3/21 10.00 AM;20.76;28.25;10.19;44.34;42;0;0;0;0;0;0;0;0;0;43
8/3/21 12.00 PM;28.08;26.92;9.37;41.75;56;0;0;0;0;0;0;0;0;0;0
8/3/21 2.00 PM;31.99;18.85;6.48;29.25;64;0;0;0;0;0;0;0;0;0;0
8/3/21 4.00 PM;29.55;19.89;4.77;27.67;59;0;0;0;0;0;0;0;0;0;43
8/3/21 6.00 PM;24.66;24.54;4.10;31.29;49;0;0;0;0;0;0;14;0;0;0
8/3/21 8.00 PM;27.59;35.43;8.56;49.01;55;0;0;0;0;0;0;14;12;0;43
8/3/21 10.00 PM;46.15;18.26;0.09;18.86;92;30;0;0;0;0;0;14;12;0;0
9/3/21 12.00 AM;39.07;9.35;0.03;9.86;78;0;0;0;0;0;0;0;0;0;0
9/3/21 2.00 AM;38.34;7.23;0.77;8.87;77;0;0;0;0;0;0;0;0;0;43
9/3/21 4.00 AM;36.39;4.87;0.58;6.23;73;0;0;0;0;0;0;0;0;0;0
9/3/21 6.00 AM;33.70;8.69;0.49;9.92;67;0;0;0;0;0;0;0;0;0;43
9/3/21 10.00 AM;14.41;14.59;2.95;19.58;29;0;0;8;8;0;0;0;0;0;0
9/3/21 12.00 PM;11.72;8.71;1.57;11.58;23;0;0;0;0;0;0;0;0;0;0
9/3/21 2.00 PM;6.35;7.03;1.06;9.11;13;0;0;0;0;0;0;0;0;0;0
9/3/21 4.00 PM;4.64;5.87;0.60;7.26;9;0;0;0;0;0;0;0;0;0;43
9/3/21 6.00 PM;5.37;18.10;0.74;19.69;11;0;0;0;0;0;0;0;0;0;0
9/3/21 8.00 PM;17.83;18.36;1.96;21.83;36;0;0;0;0;0;0;0;0;0;43
9/3/21 10.00 PM;29.55;16.72;1.08;18.84;59;0;0;0;0;0;0;0;0;0;43
10/3/21 12.00 AM;20.27;7.78;0.87;9.58;41;0;0;0;0;0;0;0;0;0;43
10/3/21 2.00 AM;14.16;5.76;0.29;6.66;28;0;0;0;0;0;0;0;0;0;0
10/3/21 6.00 AM;7.81;3.98;0.09;4.59;16;0;0;0;0;0;0;0;0;0;0
10/3/21 8.00 AM;9.52;12.03;0.90;13.87;19;0;0;0;0;0;0;0;0;0;0
10/3/21 10.00 AM;21.25;13.12;2.06;16.75;42;0;0;0;0;0;0;0;0;0;0
10/3/21 12.00 PM;46.64;7.18;1.06;9.27;93;30;0;8;8;0;0;0;0;0;0
10/3/21 2.00 PM;23.20;13.54;5.68;22.71;46;0;0;8;8;0;0;0;0;0;0
10/3/21 4.00 PM;11.48;12.51;3.96;19.05;23;0;0;0;0;0;0;0;0;0;0
10/3/21 6.00 PM;13.68;16.52;2.28;20.48;27;0;0;0;0;0;0;0;0;0;0
10/3/21 8.00 PM;9.52;17.15;0.78;18.81;19;0;0;0;0;0;0;0;0;0;0
10/3/21 10.00 PM;18.07;9.06;0.04;9.59;36;0;0;0;0;0;0;0;0;0;0
11/3/21 12.00 AM;15.38;1.78;0.21;2.57;31;0;0;0;0;0;0;0;0;0;0
11/3/21 2.00 AM;14.41;1.72;0.11;2.35;29;0;0;0;0;0;0;0;0;0;0
11/3/21 4.00 AM;12.21;2.57;0.16;3.29;24;0;0;0;0;0;0;0;0;0;0
11/3/21 6.00 AM;8.79;9.02;0.86;10.80;18;0;0;0;0;0;0;0;0;0;0
11/3/21 8.00 AM;14.65;20.74;2.56;25.13;29;0;0;0;0;0;0;0;0;0;0
11/3/21 10.00 AM;13.92;13.07;3.84;19.42;28;0;0;0;0;0;0;0;0;0;0
11/3/21 12.00 PM;10.50;8.86;2.78;13.57;21;0;0;0;0;0;0;0;0;0;0
11/3/21 2.00 PM;11.23;10.76;3.82;17.08;22;0;0;0;0;0;0;0;0;0;0
11/3/21 4.00 PM;43.71;12.12;2.59;16.56;87;30;0;0;0;0;0;0;0;0;0
11/3/21 6.00 PM;38.58;25.89;5.49;34.77;77;30;0;0;0;0;0;0;0;0;0
11/3/21 8.00 PM;19.78;40.61;5.28;49.16;40;0;0;0;0;0;0;0;0;0;0
11/3/21 10.00 PM;22.22;29.47;1.56;32.32;44;0;0;0;0;0;0;0;0;0;0
12/3/21 12.00 AM;33.70;7.80;0.20;8.57;67;0;0;0;0;0;0;0;0;0;0
12/3/21 6.00 AM;55.43;7.57;0.18;8.31;111;30;0;0;0;0;0;0;0;0;0
12/3/21 8.00 AM;27.59;19.13;2.26;23.06;55;0;0;0;0;0;0;0;0;0;0
12/3/21 10.00 AM;13.68;15.76;3.09;20.95;27;0;0;0;0;0;0;0;0;0;0
12/3/21 12.00 PM;44.44;11.08;1.71;14.17;89;30;0;0;0;0;0;0;0;0;0
12/3/21 2.00 PM;22.22;20.68;7.77;33.07;44;0;0;0;0;0;0;0;0;0;0
12/3/21 4.00 PM;10.99;23.04;4.00;29.63;22;0;0;0;0;0;0;0;0;0;0
12/3/21 6.00 PM;12.94;12.67;1.02;14.70;26;0;0;0;0;0;0;0;0;0;0
12/3/21 8.00 PM;14.65;13.98;0.91;15.83;29;0;0;0;0;0;0;0;0;0;0
