Parm;PM10;NO2;NO;NOX;IQA
27/10/21 2.00;19.53602028;8.143872963;0.625952855;5.244317766;39
27/10/21 4.00;18.55920982;9.985910813;0.650906581;6.824030823;37
27/10/21 6.00;14.65200996;20.06747122;0.918205988;17.26272958;29
27/10/21 8.00;11.72161007;29.24419241;7.601946393;36.63952014;23
27/10/21 10.00;14.89620972;13.81449205;4.114795725;15.94370935;30
27/10/21 12.00;25.15262032;11.65411151;4.056852484;13.70577944;50
27/10/21 14.00;19.53602028;12.78775777;3.894443253;14.58447894;39
27/10/21 16.00;25.15262032;16.97031964;4.378710653;19.4876767;50
27/10/21 18.00;20.51280975;24.27153856;5.75834566;28.86611248;41
27/10/21 20.00;43.9560318;33.49846959;6.367804389;38.97927376;88
27/10/21 22.00;42.73503113;11.96702222;0.860685593;9.116435105;85
28/10/21 0.00;21.24542046;10.18669637;0.779480977;7.22090662;42
28/10/21 2.00;10.50061035;4.208816455;0.431399652;0.740573048;21
28/10/21 4.00;5.128204823;4.127331228;0.061748945;0.092733909;10
28/10/21 6.00;2.442003012;17.22390521;2.744888932;17.23484758;9
28/10/21 8.00;2.197802067;42.71625979;22.11179217;72.28881826;36
28/10/21 10.00;9.523809433;27.91693941;9.536057184;38.28472014;19
28/10/21 12.00;22.46640968;12.64368894;3.265952949;13.47751213;45
28/10/21 14.00;20.51280975;15.15348517;4.220953993;17.4384713;41
28/10/21 16.00;23.93161964;18.34125278;4.013712504;20.29180723;48
28/10/21 18.00;23.19902039;46.93271548;11.57336416;60.32488037;46
28/10/21 20.00;12.69841003;54.01621561;11.11743408;66.67226008;33
28/10/21 22.00;28.81562042;25.94363956;1.690919567;24.29297293;58
29/10/21 0.00;34.18803024;15.2401863;0.980800389;12.55665959;68
29/10/21 2.00;25.15262032;9.133885284;0.636103394;5.95376147;50
29/10/21 4.00;20.26861954;6.297970819;0.529099583;3.547226496;41
29/10/21 6.00;21.24542046;20.57155166;3.633488621;22.26579451;42
29/10/21 8.00;19.78022003;45.44039874;22.85151103;76.05263052;40
29/10/21 10.00;29.05982971;29.49510302;7.125714336;36.34706096;58
29/10/21 12.00;27.35042;16.17310171;4.673077645;19.5583636;55
29/10/21 14.00;30.76922989;11.45237685;2.200986162;11.1513877;62
29/10/21 16.00;26.86202049;15.9410125;3.406791596;17.38983508;54
29/10/21 18.00;21.73381996;41.76077402;2.368047967;41.04729326;43
29/10/21 20.00;20.75702095;37.34772756;4.255635562;39.62581658;42
29/10/21 22.00;29.54821968;16.99271312;1.270093226;15.1421772;59
30/10/21 0.00;25.64101982;5.738963344;0.416597766;2.828052539;51
30/10/21 2.00;20.26861954;6.307917148;0.361192309;3.299503921;41
30/10/21 4.00;19.53602028;5.988959503;0.68770305;3.488212478;39
30/10/21 6.00;16.11721039;14.78652631;2.88615154;15.46253113;32
30/10/21 8.00;19.29179955;25.53630825;8.994269316;35.34060317;39
30/10/21 10.00;21.97801971;24.6125829;8.192794833;33.20838087;44
30/10/21 12.00;18.31501007;24.30289601;7.671732302;32.10659076;37
30/10/21 14.00;24.66422081;10.49748735;3.539173021;12.26937985;49
30/10/21 16.00;24.42000961;9.551221735;2.864158183;10.30900262;49
30/10/21 18.00;16.11721039;27.44541988;7.725445148;35.26211565;32
30/10/21 20.00;21.48962021;32.40616129;9.800394884;43.29494567;43
30/10/21 22.00;19.78022003;16.44365425;3.438935344;17.93067395;40
31/10/21 0.00;31.99023056;25.14704343;8.080292905;33.55856239;64
31/10/21 2.00;27.10622025;11.2653773;0.987990633;9.108652726;54
31/10/21 4.00;16.11721039;5.170623579;0.561666251;1.730813127;32
31/10/21 6.00;16.60560989;6.355277428;0.6999673;3.086799543;33
31/10/21 8.00;12.45421028;15.97958706;4.333455921;17.95142452;25
31/10/21 10.00;20.51280975;14.5780149;5.082484981;17.74650435;41
31/10/21 12.00;21.97801971;16.45909137;5.272385686;19.85407394;44
31/10/21 14.00;21.97801971;13.61968003;3.303170852;14.09292726;44
31/10/21 16.00;15.87300968;6.639352948;1.150822637;4.052398024;32
31/10/21 18.00;24.90842056;23.13250317;5.570982182;26.75593357;50
31/10/21 20.00;15.87300968;28.06655328;3.293442935;28.02825588;32
31/10/21 22.00;23.68741989;22.45622939;2.095250518;20.77363093;47
1/11/21 0.00;21.24542046;11.30275479;3.127650636;11.5865226;42
1/11/21 2.00;22.95482063;6.437208482;0.521486678;2.892253518;46
1/11/21 4.00;15.62880993;4.266014114;0.489765479;0.747056636;31
1/11/21 6.00;16.60560989;7.204817171;0.51514194;3.623746536;33
1/11/21 8.00;10.98900986;8.750776348;1.351720614;6.399272576;22
1/11/21 10.00;6.837606907;12.29130928;2.752924571;11.96653627;14
1/11/21 12.00;9.523809433;9.349820771;1.377519661;7.017280621;19
1/11/21 14.00;19.29179955;5.965765078;0.952040823;3.097175973;39
1/11/21 16.00;13.18680954;3.699878642;0.632720327;0.419571173;26
1/11/21 18.00;9.035408974;5.494321218;0.706734773;2.26581555;18
1/11/21 20.00;7.814407825;8.161807262;1.501864257;6.060762798;16
