PM10,NO2,NO,NOX,IQA,clusters
13.0,17.66,0.9,19.5,39,0
22.0,12.08,0.52,13.34,44,0
23.0,8.87,1.21,11.19,46,0
17.0,7.81,0.98,9.77,35,0
33.0,6.04,0.12,6.69,67,1
24.0,27.22,6.35,37.42,75,1
17.0,23.75,4.03,30.4,61,1
28.0,14.7,2.2,18.54,55,1
52.0,18.2,3.17,23.52,104,3
26.0,16.54,2.76,21.23,52,1
21.0,34.93,5.55,43.89,88,2
12.0,32.38,1.75,35.53,71,1
28.0,22.45,1.17,24.7,56,1
27.0,10.31,1.27,12.72,53,1
23.0,7.71,0.2,8.48,46,0
24.0,4.74,0.04,5.26,48,0
26.0,7.12,0.37,8.16,51,1
25.0,21.23,2.82,26.01,52,1
32.0,15.09,1.47,17.81,64,1
48.0,12.75,3.42,18.45,97,3
35.0,10.54,3.15,15.84,70,1
57.0,6.83,1.15,9.06,114,3
79.0,20.39,4.7,28.07,158,3
39.0,43.1,13.08,63.62,127,2
20.0,20.23,2.46,24.46,49,1
10.0,7.43,0.26,8.3,20,0
5.0,5.52,0.19,6.28,13,0
2.0,2.96,0.09,3.56,7,0
1.0,5.57,0.12,6.21,12,0
1.0,8.18,0.81,9.89,20,0
16.0,8.11,1.07,10.22,33,0
11.0,10.14,2.94,15.11,30,0
16.0,11.92,2.9,16.83,34,0
49.0,5.56,1.06,7.65,99,3
63.0,13.93,2.92,18.87,125,3
31.0,26.19,2.89,31.08,63,1
16.0,26.86,1.26,29.25,59,1
12.0,13.71,0.17,14.44,29,0
24.0,5.87,0.05,6.41,47,0
24.0,6.28,1.11,8.45,47,0
19.0,13.99,3.25,19.44,39,0
24.0,41.92,32.78,92.64,185,4
21.0,28.25,10.19,44.34,89,2
28.0,26.92,9.37,41.75,83,2
32.0,18.85,6.48,29.25,64,1
30.0,19.89,4.77,27.67,59,1
25.0,24.54,4.1,31.29,63,1
28.0,35.43,8.56,49.01,98,2
46.0,18.26,0.09,18.86,92,3
39.0,9.35,0.03,9.86,78,3
38.0,7.23,0.77,8.87,77,3
36.0,4.87,0.58,6.23,73,1
34.0,8.69,0.49,9.92,67,1
14.0,14.59,2.95,19.58,39,0
12.0,8.71,1.57,11.58,23,0
6.0,7.03,1.06,9.11,18,0
5.0,5.87,0.6,7.26,15,0
5.0,18.1,0.74,19.69,39,0
18.0,18.36,1.96,21.83,44,1
30.0,16.72,1.08,18.84,59,1
20.0,7.78,0.87,9.58,41,0
14.0,5.76,0.29,6.66,28,0
8.0,3.98,0.09,4.59,16,0
10.0,12.03,0.9,13.87,28,0
21.0,13.12,2.06,16.75,42,0
47.0,7.18,1.06,9.27,93,3
23.0,13.54,5.68,22.71,46,1
11.0,12.51,3.96,19.05,38,0
14.0,16.52,2.28,20.48,41,0
10.0,17.15,0.78,18.81,38,0
18.0,9.06,0.04,9.59,36,0
15.0,1.78,0.21,2.57,31,0
14.0,1.72,0.11,2.35,29,0
12.0,2.57,0.16,3.29,24,0
9.0,9.02,0.86,10.8,22,0
15.0,20.74,2.56,25.13,50,1
14.0,13.07,3.84,19.42,39,0
11.0,8.86,2.78,13.57,27,0
11.0,10.76,3.82,17.08,34,0
44.0,12.12,2.59,16.56,87,3
39.0,25.89,5.49,34.77,77,1
20.0,40.61,5.28,49.16,98,2
22.0,29.47,1.56,32.32,65,1
34.0,7.8,0.2,8.57,67,1
55.0,7.57,0.18,8.31,111,3
28.0,19.13,2.26,23.06,55,1
14.0,15.76,3.09,20.95,42,0
44.0,11.08,1.71,14.17,89,3
22.0,20.68,7.77,33.07,66,1
11.0,23.04,4.0,29.63,59,1
13.0,12.67,1.02,14.7,29,0
15.0,13.98,0.91,15.83,32,0
21.0,11.56,0.56,12.89,42,0
27.0,9.55,1.67,12.57,53,1
22.0,5.84,1.19,8.13,43,0
57.0,3.45,0.01,3.93,114,3
28.0,12.86,1.43,15.51,57,1
14.0,37.43,11.78,55.95,112,2
7.0,19.28,4.34,26.4,53,1
3.0,15.26,4.19,22.14,44,0
40.0,12.57,3.01,17.64,80,3
20.0,7.1,1.26,9.5,40,0
13.0,15.44,1.99,18.96,38,0
19.0,13.06,0.9,14.9,39,0
21.0,6.79,0.32,7.75,42,0
22.0,2.13,0.07,2.71,44,0
21.0,0.25,0.04,0.77,42,0
23.0,1.33,0.08,1.92,45,0
15.0,3.27,0.13,3.94,30,0
46.0,13.66,5.08,21.91,93,3
23.0,3.78,0.57,5.12,46,0
11.0,3.49,0.49,4.71,23,0
6.0,2.28,0.3,3.21,11,0
7.0,0.2,0.05,0.74,14,0
46.0,4.12,0.33,5.1,92,3
23.0,3.77,0.18,4.5,46,0
11.0,6.73,0.23,7.54,23,0
6.0,6.02,0.69,7.54,15,0
3.0,0.35,0.0,0.72,5,0
1.0,0.91,0.04,1.44,3,0
38.0,1.31,0.14,1.98,75,3
19.0,6.21,1.02,8.24,38,0
13.0,6.82,1.21,9.15,26,0
6.0,6.38,0.68,7.89,16,0
3.0,7.91,0.68,9.41,19,0
1.0,7.34,1.31,9.81,20,0
37.0,10.75,1.63,13.71,74,1
19.0,11.4,0.84,13.15,37,0
9.0,9.7,0.23,10.52,21,0
5.0,5.44,0.22,6.25,13,0
2.0,2.43,0.49,3.64,7,0
37.0,2.56,0.1,3.17,74,3
19.0,5.58,0.24,6.42,37,0
15.0,16.45,2.06,20.08,40,0
8.0,11.78,2.23,15.67,31,0
4.0,7.77,1.85,11.07,22,0
10.0,7.97,2.12,11.69,23,0
5.0,5.22,0.56,6.54,13,0
47.0,14.56,2.03,18.13,93,3
23.0,16.09,2.91,21.01,46,1
11.0,7.58,0.4,8.65,23,0
6.0,3.41,0.4,4.42,11,0
7.0,4.91,0.15,5.6,13,0
3.0,13.21,1.44,15.88,32,0
1.0,10.5,2.78,15.23,30,0
1.0,7.27,1.88,10.62,21,0
12.0,6.98,2.75,11.66,24,0
6.0,6.51,1.6,9.43,19,0
9.0,10.67,1.5,13.43,27,0
5.0,21.7,0.8,23.38,47,1
8.0,16.81,0.66,18.29,37,0
11.0,9.28,0.13,9.95,23,0
17.0,5.89,0.43,7.02,35,0
13.0,3.35,0.1,3.96,26,0
43.0,6.01,0.21,6.8,87,3
22.0,31.21,6.5,41.63,83,2
11.0,15.02,3.42,20.72,41,0
29.0,13.37,5.37,22.07,59,1
15.0,15.88,5.02,24.03,48,1
14.0,9.46,2.19,13.28,27,0
16.0,17.49,4.13,24.29,49,1
10.0,45.83,2.51,50.13,100,2
11.0,21.25,1.96,24.71,49,1
24.0,9.63,0.33,10.61,47,1
25.0,5.56,0.53,6.84,51,1
16.0,4.78,0.22,5.58,32,0
14.0,9.57,0.62,10.99,28,0
11.0,23.79,4.83,31.66,63,1
15.0,13.35,2.34,17.4,35,0
19.0,11.25,2.83,16.06,38,0
12.0,16.27,6.27,26.35,53,1
8.0,13.47,3.97,20.02,40,0
8.0,21.61,4.89,29.56,59,1
12.0,34.05,1.91,37.44,75,1
21.0,29.25,1.4,31.86,64,1
44.0,11.26,0.14,11.95,87,3
49.0,7.71,0.1,8.33,97,3
34.0,6.11,0.21,6.89,69,1
58.0,4.45,0.11,5.09,115,3
29.0,14.85,0.8,16.54,58,1
14.0,16.87,2.17,20.67,41,0
22.0,14.1,1.88,17.44,44,1
11.0,16.01,2.51,20.32,41,0
5.0,16.3,2.73,20.95,42,0
12.0,19.38,1.25,21.75,44,1
8.0,42.55,2.63,47.04,94,2
13.0,12.58,0.92,14.46,29,0
16.0,5.29,0.12,5.94,32,0
14.0,4.33,0.19,5.09,27,0
45.0,3.93,0.1,4.55,90,3
22.0,4.09,0.1,4.71,45,0
16.0,11.73,0.58,13.09,32,0
8.0,15.56,2.58,19.97,40,0
4.0,20.5,7.81,32.93,66,1
26.0,15.6,3.3,21.12,52,1
13.0,5.42,0.89,7.24,26,0
50.0,7.05,0.75,8.66,101,3
25.0,5.0,0.44,6.15,50,1
12.0,3.56,0.17,4.28,25,0
9.0,14.6,4.32,21.69,43,0
21.0,17.09,3.93,23.58,47,1
10.0,11.33,2.52,15.65,31,0
5.0,14.78,3.32,20.34,41,0
2.0,13.36,2.99,18.42,37,0
7.0,14.06,3.33,19.63,39,0
12.0,16.05,3.35,21.65,43,0
14.0,8.53,1.28,10.95,28,0
16.0,5.45,0.8,7.15,33,0
11.0,4.39,0.29,5.3,21,0
6.0,7.5,0.66,8.98,18,0
6.0,8.33,1.23,10.68,21,0
11.0,14.57,4.02,21.2,42,0
9.0,9.5,3.36,15.11,30,0
16.0,10.76,3.63,16.79,34,0
13.0,9.08,2.99,14.12,28,0
49.0,8.77,2.16,12.55,98,3
25.0,11.75,1.21,14.06,50,1
21.0,16.42,3.74,22.62,45,1
20.0,9.96,1.53,12.76,41,0
19.0,1.28,0.1,1.78,37,0
13.0,1.22,0.57,2.56,26,0
14.0,2.13,0.6,3.53,29,0
15.0,6.07,0.18,6.81,30,0
10.0,18.2,1.56,21.06,42,0
14.0,19.95,1.46,22.64,45,1
20.0,9.54,2.6,13.99,40,0
23.0,7.93,2.61,12.41,46,0
48.0,6.95,1.76,10.11,95,3
29.0,13.55,3.46,19.31,58,1
19.0,17.67,3.48,23.46,47,1
21.0,10.83,0.89,12.66,41,0
15.0,5.5,0.3,6.43,30,0
14.0,2.85,0.16,3.56,28,0
15.0,7.17,0.27,8.04,30,0
11.0,11.6,2.49,15.89,32,0
11.0,18.0,4.56,25.46,51,1
8.0,23.47,6.27,33.55,67,1
15.0,16.39,4.66,24.0,48,1
21.0,10.62,5.16,19.0,41,0
14.0,8.24,2.95,13.22,27,0
13.0,16.94,3.16,22.24,44,1
47.0,56.56,6.02,66.25,132,2
23.0,35.68,3.51,41.52,83,2
12.0,10.39,0.3,11.32,23,0
21.0,2.85,0.18,3.58,42,0
21.0,0.71,0.0,1.18,42,0
15.0,4.62,0.07,5.2,29,0
17.0,21.7,4.82,29.56,59,1
17.0,14.73,4.32,21.82,44,1
13.0,22.95,5.98,32.57,65,1
14.0,11.18,2.91,16.11,32,0
16.0,11.96,2.89,16.85,34,0
42.0,18.22,3.42,23.93,83,3
21.0,39.65,6.77,50.49,101,2
10.0,12.87,0.98,14.84,30,0
15.0,7.55,0.34,8.53,31,0
13.0,5.43,0.72,7.0,25,0
24.0,5.07,0.36,6.09,49,0
51.0,7.2,1.3,9.66,101,3
33.0,4.9,0.63,6.33,66,1
23.0,8.93,0.99,10.91,46,0
27.0,22.9,1.28,25.33,53,1
35.0,14.93,0.04,15.45,70,1
27.0,5.97,0.15,6.66,55,1
23.0,5.38,0.25,6.22,46,0
27.0,8.26,0.01,8.74,55,1
49.0,12.3,0.01,12.78,97,3
47.0,28.39,3.07,33.55,93,3
35.0,13.27,1.53,16.08,71,1
29.0,10.94,3.79,17.21,58,1
46.0,8.51,1.68,11.55,91,3
23.0,9.16,2.07,12.8,45,0
22.0,12.35,1.76,15.5,43,0
16.0,17.78,1.07,19.88,40,0
27.0,13.75,0.22,14.55,54,1
43.0,3.17,0.25,4.02,86,3
57.0,3.32,0.11,3.96,113,3
28.0,3.65,0.13,4.32,57,1
14.0,17.99,0.92,19.86,40,0
7.0,30.78,4.51,38.15,76,1
5.0,13.81,3.18,19.15,38,0
24.0,11.06,2.44,15.26,48,1
15.0,9.42,1.94,12.85,31,0
8.0,10.54,1.59,13.45,27,0
15.0,16.03,2.24,19.92,40,0
10.0,33.01,0.1,33.62,67,1
22.0,18.93,0.89,20.76,44,1
27.0,7.38,0.01,7.86,53,1
31.0,7.81,0.01,8.29,62,1
20.0,9.44,0.2,10.21,40,0
18.0,32.1,2.28,36.05,72,1
23.0,35.51,5.83,44.91,90,2
33.0,15.86,2.95,20.85,66,1
31.0,11.03,1.52,13.83,62,1
20.0,9.08,1.38,11.66,40,0
14.0,9.36,1.59,12.27,29,0
13.0,17.65,1.98,21.15,42,0
33.0,44.16,1.85,47.45,95,2
39.0,16.91,0.35,17.91,77,3
34.0,3.69,0.01,4.16,67,1
30.0,2.25,0.0,2.72,59,1
22.0,4.32,0.79,6.0,44,0
60.0,18.37,1.35,20.91,119,3
30.0,39.47,15.77,64.11,128,2
15.0,21.11,5.02,29.27,59,1
7.0,14.59,3.29,20.09,40,0
4.0,13.75,1.88,17.09,34,0
2.0,12.02,1.58,14.91,30,0
5.0,24.02,3.69,30.14,60,1
9.0,54.63,6.72,65.39,131,2
22.0,19.34,0.25,20.18,45,1
30.0,6.0,0.06,6.57,61,1
31.0,4.66,0.0,5.13,62,1
31.0,4.7,0.05,5.24,62,1
35.0,20.68,5.28,29.24,70,1
32.0,36.74,16.97,63.22,126,2
32.0,20.44,4.26,27.43,64,1
29.0,14.94,3.11,20.17,58,1
18.0,9.76,1.72,12.85,36,0
17.0,15.25,2.22,19.12,38,0
10.0,9.18,0.61,10.58,21,0
15.0,8.83,0.21,9.62,30,0
29.0,1.43,0.53,2.68,57,1
25.0,5.92,0.37,6.95,50,1
53.0,8.83,1.22,11.17,105,3
26.0,5.91,0.56,7.23,52,1
13.0,3.29,0.45,4.44,26,0
6.0,2.42,0.1,3.05,13,0
3.0,4.69,0.15,5.38,11,0
19.0,9.0,0.46,10.17,38,0
22.0,8.23,0.23,9.05,43,0
32.0,3.51,0.0,3.98,63,1
42.0,2.56,0.65,4.02,85,3
31.0,0.5,0.21,1.28,63,1
24.0,1.23,0.39,2.29,48,0
46.0,1.42,0.52,2.68,92,3
23.0,4.83,1.16,7.08,46,0
11.0,5.55,1.4,8.16,23,0
6.0,3.76,0.89,5.59,11,0
3.0,1.82,0.36,2.84,6,0
1.0,1.36,0.62,2.77,6,0
5.0,5.21,1.21,7.53,15,0
6.0,6.08,0.81,7.78,16,0
7.0,2.34,0.03,2.81,15,0
7.0,0.48,0.02,0.99,15,0
43.0,7.92,1.17,10.18,86,3
21.0,8.9,1.05,10.97,43,0
11.0,4.03,1.34,6.54,21,0
23.0,7.49,2.65,12.02,46,0
11.0,1.72,0.46,2.89,23,0
11.0,2.06,0.58,3.41,21,0
45.0,6.04,1.65,9.03,90,3
22.0,15.42,1.51,18.2,45,1
11.0,10.02,0.34,11.0,22,0
6.0,2.85,0.27,3.73,11,0
3.0,2.23,0.13,2.89,6,0
32.0,5.17,0.24,6.0,65,1
16.0,13.79,1.01,15.81,32,0
8.0,24.27,4.17,31.12,62,1
4.0,7.22,0.87,9.02,18,0
2.0,6.35,0.7,7.89,16,0
1.0,3.66,0.77,5.31,11,0
0.5,2.51,0.14,3.19,6,0
19.0,3.58,0.36,4.6,38,0
18.0,4.81,0.2,5.58,35,0
23.0,1.65,0.0,2.12,46,0
22.0,1.45,0.08,2.04,43,0
20.0,0.95,0.03,1.46,41,0
11.0,1.43,0.28,2.32,21,0
45.0,8.67,0.62,10.09,89,3
22.0,13.8,2.29,17.78,44,1
11.0,12.77,1.74,15.9,32,0
5.0,8.69,1.86,12.01,24,0
3.0,11.68,2.26,15.61,31,0
1.0,8.19,1.04,10.25,21,0
4.0,13.93,2.43,18.13,36,0
6.0,10.93,2.36,15.02,30,0
7.0,2.2,0.05,2.74,13,0
20.0,3.48,0.11,4.11,40,0
15.0,0.97,0.17,1.69,30,0
11.0,2.76,0.0,3.23,23,0
42.0,8.56,0.21,9.35,84,3
21.0,18.03,3.28,23.52,47,1
11.0,10.41,3.55,16.32,33,0
17.0,8.42,2.63,12.91,34,0
8.0,7.16,2.09,10.82,22,0
4.0,6.24,1.17,8.5,17,0
23.0,14.22,2.85,19.06,46,1
19.0,39.21,2.86,44.06,88,2
73.0,2.23,0.21,3.01,146,3
58.0,3.91,0.07,4.49,116,3
36.0,13.86,0.45,15.0,72,1
45.0,2.93,0.01,3.41,91,3
40.0,7.62,0.94,9.53,79,3
31.0,4.6,0.66,6.08,61,1
41.0,3.21,0.19,3.97,82,3
34.0,3.28,0.22,4.08,68,1
37.0,7.62,1.38,10.2,75,3
19.0,7.04,0.36,8.06,37,0
18.0,5.02,0.63,6.45,36,0
9.0,3.96,0.65,5.42,18,0
8.0,1.57,0.3,2.5,15,0
10.0,1.43,0.23,2.25,20,0
33.0,3.55,0.08,4.14,66,1
23.0,5.15,0.37,6.18,46,0
23.0,3.66,0.22,4.47,46,0
20.0,1.32,0.01,1.8,40,0
17.0,0.17,0.0,0.59,34,0
25.0,1.12,0.09,1.73,49,0
27.0,10.51,1.49,13.26,53,1
17.0,10.91,1.86,14.22,33,0
49.0,5.66,0.76,7.3,98,3
41.0,4.8,0.55,6.11,81,3
33.0,4.38,0.55,5.69,65,1
44.0,2.07,0.0,2.53,87,3
36.0,0.66,0.0,1.13,72,1
43.0,0.13,0.01,0.58,86,3
58.0,2.05,0.13,2.72,116,3
29.0,18.0,2.14,21.74,58,1
14.0,12.27,2.52,16.6,33,0
7.0,5.21,0.87,7.01,14,0
3.0,13.38,4.16,20.22,40,0
8.0,8.08,1.62,11.03,22,0
12.0,10.66,2.27,14.61,29,0
16.0,18.27,3.81,24.57,49,1
16.0,13.21,0.35,14.21,32,0
44.0,8.83,0.27,9.7,88,3
32.0,1.47,0.35,2.47,63,1
17.0,0.27,0.15,0.96,34,0
11.0,1.01,0.03,1.53,21,0
39.0,8.48,0.59,9.85,78,3
20.0,9.54,1.85,12.83,39,0
10.0,5.85,1.46,8.55,20,0
5.0,7.17,2.37,11.26,23,0
45.0,5.28,1.18,7.55,89,3
36.0,13.94,1.5,16.71,72,1
18.0,19.46,3.34,25.05,50,1
18.0,8.76,1.85,12.06,36,0
9.0,8.64,2.42,12.81,26,0
8.0,8.1,2.51,12.43,25,0
6.0,8.79,2.63,13.29,27,0
4.0,15.92,5.69,25.11,50,1
7.0,32.69,5.48,41.56,83,2
8.0,22.66,0.48,23.85,48,1
16.0,7.35,0.12,8.01,32,0
24.0,5.08,0.0,5.55,48,0
13.0,6.9,0.49,8.11,26,0
16.0,19.45,2.33,23.48,47,1
14.0,27.71,6.06,37.46,75,1
16.0,17.0,4.59,24.49,49,1
11.0,16.5,1.8,19.71,39,0
17.0,14.43,2.23,18.32,37,0
16.0,14.15,3.25,19.6,39,0
11.0,20.05,1.06,22.13,44,1
16.0,19.97,0.86,21.76,44,1
19.0,7.59,0.23,8.4,38,0
17.0,3.52,0.14,4.21,35,0
12.0,7.08,0.07,7.66,24,0
10.0,5.26,0.1,5.88,20,0
6.0,12.18,0.57,13.52,27,0
4.0,17.31,1.25,19.69,39,0
11.0,14.29,1.83,17.55,35,0
19.0,9.03,2.05,12.63,38,0
19.0,5.58,1.46,8.27,39,0
22.0,6.32,1.44,8.99,43,0
17.0,13.19,1.56,16.04,34,0
15.0,8.52,0.31,9.46,29,0
19.0,7.27,0.54,8.56,37,0
18.0,3.72,0.01,4.2,36,0
11.0,2.43,0.19,3.2,22,0
10.0,3.22,0.1,3.84,19,0
6.0,5.66,0.39,6.73,13,0
13.0,6.05,0.47,7.23,26,0
7.0,7.55,0.6,8.93,18,0
13.0,9.83,1.89,13.2,27,0
21.0,5.61,0.73,7.2,42,0
15.0,3.98,0.69,5.51,30,0
9.0,10.99,1.29,13.43,27,0
17.0,15.89,1.88,19.23,38,0
18.0,10.73,0.34,11.72,36,0
21.0,6.97,0.21,7.76,42,0
26.0,4.91,0.07,5.48,51,1
22.0,2.75,0.15,3.45,44,0
24.0,30.58,2.22,34.45,69,1
12.0,12.01,2.56,16.4,33,0
21.0,9.08,1.45,11.77,42,0
12.0,7.44,0.78,9.11,24,0
8.0,8.5,1.99,12.02,24,0
41.0,11.32,0.82,13.03,81,3
20.0,14.42,1.15,16.65,41,0
10.0,6.45,0.2,7.23,20,0
5.0,3.41,0.03,3.92,10,0
19.0,2.2,0.08,2.78,39,0
12.0,16.28,1.74,19.42,39,0
6.0,20.29,3.93,26.77,54,1
22.0,16.12,3.15,21.42,43,1
11.0,12.09,2.76,16.79,34,0
10.0,8.36,1.62,11.31,23,0
10.0,10.15,1.91,13.54,27,0
9.0,10.95,0.85,12.71,25,0
12.0,16.76,1.11,18.92,38,0
9.0,6.04,0.07,6.61,18,0
20.0,4.99,0.36,6.01,39,0
12.0,3.0,0.02,3.51,24,0
42.0,3.61,0.26,4.48,84,3
21.0,18.43,2.76,23.12,46,1
11.0,28.53,8.98,42.76,86,2
5.0,22.3,5.26,30.83,62,1
2.0,11.41,2.61,15.88,32,0
9.0,6.74,1.24,9.1,18,0
41.0,7.73,1.74,10.86,81,3
20.0,16.48,4.29,23.52,47,1
10.0,19.28,2.31,23.28,47,1
5.0,4.87,0.14,5.55,11,0
2.0,4.16,0.58,5.51,11,0
8.0,4.46,0.62,5.87,17,0
10.0,5.78,0.83,7.51,20,0
9.0,19.86,4.4,27.06,54,1
14.0,35.18,39.66,96.45,193,4
33.0,16.98,3.99,23.56,66,1
19.0,9.57,1.48,12.3,38,0
14.0,6.93,0.86,8.72,28,0
23.0,7.85,0.48,9.05,45,0
13.0,9.77,0.74,11.37,26,0
21.0,8.27,0.68,9.77,42,0
17.0,3.79,0.29,4.7,33,0
17.0,4.86,0.38,5.91,34,0
23.0,4.54,1.4,7.15,45,0
28.0,4.49,1.66,7.5,55,1
53.0,18.07,2.28,22.02,107,3
27.0,23.26,3.13,28.51,57,1
13.0,11.85,2.6,16.31,33,0
26.0,7.49,1.71,10.58,51,1
14.0,8.08,2.34,12.13,28,0
11.0,8.77,1.09,10.91,22,0
12.0,14.96,3.72,21.13,42,0
27.0,15.97,1.44,18.64,54,1
27.0,11.25,1.55,14.09,54,1
27.0,9.64,1.98,13.14,54,1
22.0,1.33,0.45,2.49,45,0
15.0,7.82,1.47,10.53,29,0
25.0,8.97,0.84,10.72,50,1
46.0,2.95,0.6,4.33,91,3
47.0,2.0,0.93,3.89,95,3
43.0,1.71,0.98,3.69,85,3
47.0,3.77,0.77,5.41,95,3
37.0,20.07,11.92,38.82,78,1
28.0,16.49,6.81,27.39,57,1
7.0,13.89,4.61,21.41,43,0
3.0,8.27,2.88,13.15,26,0
2.0,14.06,4.08,20.78,42,0
19.0,17.7,4.74,25.43,51,1
21.0,18.84,5.6,27.89,56,1
28.0,16.28,4.11,23.04,57,1
29.0,15.81,1.01,17.82,59,1
34.0,11.78,1.29,14.21,68,1
31.0,8.02,0.66,9.49,63,1
32.0,11.97,3.46,17.74,64,1
56.0,26.69,13.22,47.43,111,2
51.0,31.13,8.71,44.94,103,2
26.0,19.02,6.14,28.9,58,1
13.0,14.62,4.56,22.07,44,1
19.0,13.93,4.33,21.03,42,0
15.0,9.61,1.39,12.21,30,0
16.0,14.65,0.89,16.48,33,0
20.0,3.8,0.69,5.33,39,0
23.0,3.16,0.48,4.36,47,0
32.0,5.82,0.34,6.8,64,1
27.0,7.0,1.77,10.18,54,1
14.0,16.62,3.29,22.13,44,1
17.0,27.38,8.65,41.1,82,2
28.0,17.27,4.55,24.72,56,1
19.0,10.95,2.33,14.99,38,0
19.0,6.81,0.86,8.6,38,0
13.0,7.85,1.86,11.17,27,0
8.0,12.92,1.69,15.97,32,0
17.0,14.57,2.07,18.2,36,0
17.0,8.72,1.26,11.12,34,0
11.0,5.2,0.6,6.58,21,0
10.0,1.86,0.49,3.08,21,0
39.0,2.27,0.27,3.15,77,3
19.0,6.27,1.35,8.8,39,0
10.0,6.22,1.2,8.53,19,0
5.0,23.58,12.43,43.09,86,2
23.0,13.75,3.7,19.88,45,1
11.0,5.54,0.81,7.25,22,0
21.0,3.69,0.78,5.35,41,0
13.0,11.47,1.99,14.98,30,0
10.0,4.33,0.9,6.18,21,0
14.0,5.61,0.68,7.11,28,0
13.0,6.88,2.48,11.15,25,0
11.0,8.98,2.81,13.75,28,0
21.0,2.08,0.26,2.95,42,0
18.0,8.38,1.95,11.83,36,0
24.0,6.33,1.66,9.35,49,1
32.0,3.67,0.97,5.62,64,1
17.0,3.74,0.62,5.16,33,0
46.0,1.93,0.36,2.94,93,3
23.0,1.21,0.27,2.09,46,0
52.0,2.92,0.57,4.27,104,3
26.0,6.77,0.81,8.47,52,1
13.0,3.76,0.39,4.83,26,0
6.0,1.99,0.31,2.94,13,0
26.0,2.27,0.32,3.22,52,1
13.0,2.68,0.24,3.51,26,0
15.0,11.41,1.14,13.61,30,0
8.0,22.84,4.45,30.13,60,1
4.0,13.14,2.81,17.92,36,0
2.0,12.31,3.3,17.82,36,0
1.0,13.23,3.79,19.5,39,0
34.0,14.13,2.44,18.34,68,1
22.0,21.67,0.93,23.55,47,1
21.0,30.74,2.54,35.1,70,1
20.0,27.83,1.11,29.99,60,1
47.0,8.83,0.55,10.14,94,3
23.0,4.12,0.48,5.32,47,0
12.0,5.19,0.57,6.54,23,0
24.0,23.38,2.63,27.87,56,1
12.0,37.25,8.09,50.11,100,2
6.0,21.0,4.18,27.88,56,1
3.0,17.7,3.14,22.97,46,1
1.0,12.8,4.21,19.71,39,0
1.0,11.62,3.39,17.29,35,0
11.0,21.59,4.02,28.21,56,1
11.0,27.1,5.35,35.76,72,1
12.0,16.14,0.85,17.9,36,0
13.0,13.63,0.21,14.41,29,0
11.0,6.06,0.4,7.15,22,0
11.0,6.76,0.65,8.23,23,0
10.0,19.15,3.22,24.56,49,1
15.0,18.36,5.35,27.03,54,1
20.0,19.31,3.09,24.5,49,1
17.0,20.71,6.4,31.0,62,1
14.0,16.16,4.49,23.51,47,1
17.0,13.66,3.72,19.83,40,0
18.0,18.19,5.27,26.73,53,1
12.0,31.86,5.51,40.77,82,2
18.0,7.49,0.57,8.83,35,0
18.0,6.61,0.35,7.6,35,0
46.0,2.13,0.38,3.18,91,3
23.0,6.49,0.74,8.1,45,0
14.0,17.4,1.6,20.31,41,0
7.0,15.22,3.12,20.46,41,0
3.0,7.22,1.03,9.26,19,0
21.0,15.43,3.83,21.76,44,1
10.0,15.4,3.54,21.29,43,0
17.0,16.17,3.22,21.57,43,1
13.0,11.07,1.95,14.52,29,0
17.0,10.23,1.02,12.26,35,0
16.0,6.94,0.58,8.3,32,0
12.0,6.1,0.48,7.29,25,0
11.0,4.41,0.95,6.33,22,0
12.0,8.18,1.1,10.33,24,0
10.0,27.72,8.04,40.51,81,2
12.0,16.5,2.4,20.64,41,0
10.0,8.59,1.17,10.85,22,0
39.0,8.83,1.33,11.33,78,3
19.0,10.52,1.65,13.51,39,0
21.0,16.7,3.13,21.97,44,1
22.0,24.07,4.74,31.79,64,1
23.0,12.67,1.11,14.85,45,1
22.0,8.35,0.57,9.7,43,0
20.0,4.23,0.41,5.32,39,0
14.0,2.81,0.05,3.35,28,0
11.0,4.43,0.62,5.85,23,0
13.0,7.53,0.7,9.06,25,0
47.0,10.25,1.3,12.71,94,3
23.0,10.27,2.94,15.25,47,1
12.0,9.81,2.66,14.35,29,0
6.0,6.8,2.14,10.55,21,0
36.0,8.6,2.13,12.32,73,1
19.0,9.92,1.92,13.32,37,0
15.0,17.39,1.59,20.3,41,0
13.0,18.87,0.83,20.6,41,0
13.0,9.2,0.44,10.35,26,0
8.0,5.14,0.04,5.67,17,0
9.0,2.65,0.04,3.19,18,0
7.0,7.72,0.99,9.7,19,0
6.0,8.57,0.97,10.52,21,0
13.0,9.42,1.79,12.62,27,0
12.0,16.97,4.85,24.88,50,1
9.0,6.5,1.09,8.63,18,0
33.0,7.95,1.6,10.87,67,1
57.0,14.05,2.89,18.95,114,3
29.0,25.26,3.04,30.38,61,1
14.0,19.38,0.68,20.88,42,0
7.0,4.72,0.71,6.27,14,0
3.0,3.56,0.56,4.89,10,0
32.0,8.57,1.44,11.25,63,1
16.0,16.11,0.95,18.03,36,0
8.0,34.86,12.14,53.93,108,2
22.0,20.27,4.35,27.4,55,1
11.0,17.21,3.42,22.91,46,1
16.0,14.08,1.92,17.48,35,0
8.0,16.56,2.6,21.0,42,0
18.0,14.87,2.02,18.43,37,0
18.0,15.03,1.24,17.39,37,0
23.0,8.65,0.83,10.39,47,0
