Parm;PM10;NO2;NO;NOX;IQA;starnuti;tosse;asma;difficolta_respiratorie;mal_di_testa;sonnolenza;occhi_gonfi;lacrimazione;gola_irritata;prurito
3/1/21 2.00 PM;8.79;8.84;0.82;10.56;18;0;0;0;0;0;0;0;0;0;0
3/1/21 4.00 PM;13.92;7.84;0.35;8.83;28;0;0;0;0;0;0;0;0;0;0
3/1/21 6.00 PM;12.70;21.90;1.04;23.96;25;0;0;0;0;0;0;0;0;0;0
3/1/21 8.00 PM;12.21;32.32;6.04;42.04;24;0;0;0;0;0;0;0;0;0;0
3/1/21 10.00 PM;35.16;18.57;2.23;22.46;70;0;0;0;0;0;0;0;0;0;0
4/1/21 12.00 AM;21.98;19.03;2.84;23.84;44;0;0;0;0;0;0;0;0;0;0
4/1/21 2.00 AM;27.11;4.26;0.18;4.99;54;0;0;0;0;0;0;0;0;0;0
4/1/21 4.00 AM;14.41;6.19;0.48;7.39;29;0;0;0;0;0;0;0;0;0;0
4/1/21 6.00 AM;14.65;8.20;0.27;9.08;29;0;0;0;0;0;0;0;0;0;0
4/1/21 8.00 AM;9.52;39.93;18.51;68.76;34;0;0;0;0;0;0;0;0;0;0
4/1/21 10.00 AM;10.01;28.56;6.99;39.73;20;0;0;0;0;0;0;0;0;0;0
4/1/21 12.00 PM;17.34;30.55;9.89;46.17;35;0;0;0;0;0;0;0;0;0;0
4/1/21 2.00 PM;21.25;23.69;8.53;37.23;42;0;0;0;0;0;0;0;0;0;0
4/1/21 4.00 PM;16.61;26.77;7.06;38.05;33;0;0;0;0;0;0;0;0;0;0
4/1/21 6.00 PM;16.12;53.67;69.42;160.58;80;0;0;0;0;0;0;0;0;0;0
4/1/21 8.00 PM;30.04;42.52;10.12;58.49;60;0;0;0;0;0;0;0;0;0;0
4/1/21 10.00 PM;44.93;13.67;0.83;15.41;90;0;0;0;0;0;0;0;0;0;0
5/1/21 12.00 AM;28.33;4.07;0.00;4.54;57;0;0;0;0;0;0;0;0;0;0
5/1/21 2.00 AM;18.80;2.62;0.01;3.09;38;0;0;0;0;0;0;0;0;0;0
5/1/21 6.00 AM;46.89;6.37;0.24;7.19;94;0;0;0;0;0;0;0;0;0;0
5/1/21 8.00 AM;23.44;25.07;3.60;31.06;47;0;0;0;0;0;0;0;0;0;0
5/1/21 10.00 AM;11.72;27.34;14.25;49.66;25;0;0;0;0;0;0;0;0;0;0
5/1/21 12.00 PM;19.78;12.32;2.74;16.99;40;0;0;0;0;0;0;0;0;0;0
5/1/21 2.00 PM;17.83;8.67;1.58;11.57;36;0;0;0;0;0;0;0;0;0;0
5/1/21 4.00 PM;43.47;12.54;0.78;14.20;87;0;0;0;0;0;0;0;0;0;0
5/1/21 6.00 PM;21.73;23.45;2.64;27.96;43;0;0;0;0;0;0;0;0;0;0
5/1/21 8.00 PM;10.74;38.04;5.28;46.59;23;0;0;0;0;0;0;0;0;0;0
5/1/21 10.00 PM;5.37;19.38;1.30;21.84;11;0;0;0;0;0;0;0;0;0;0
6/1/21 12.00 AM;8.06;5.70;0.15;6.39;16;0;0;0;0;0;0;0;0;0;0
6/1/21 2.00 AM;8.79;2.70;0.03;3.21;18;0;0;0;0;0;0;0;0;0;0
6/1/21 4.00 AM;10.99;3.85;0.25;4.70;22;0;0;0;0;0;0;0;0;0;0
6/1/21 6.00 AM;11.72;9.53;3.35;15.13;23;0;0;0;0;0;0;0;0;0;0
6/1/21 8.00 AM;15.38;7.82;0.08;8.41;31;0;0;0;0;0;0;0;0;0;0
6/1/21 10.00 AM;22.47;19.42;7.85;31.92;45;0;0;0;0;0;0;0;0;0;0
6/1/21 12.00 PM;24.42;11.32;1.88;14.66;49;0;0;0;0;0;0;0;0;0;0
6/1/21 2.00 PM;23.93;13.19;1.37;15.75;48;0;0;0;0;0;0;0;0;0;0
6/1/21 4.00 PM;34.68;8.06;0.42;9.17;69;0;0;0;0;0;0;0;0;0;0
6/1/21 6.00 PM;28.33;15.06;1.05;17.14;57;0;0;0;0;0;0;0;0;0;0
6/1/21 8.00 PM;36.39;26.60;2.57;31.01;73;0;0;0;0;0;0;0;0;0;0
6/1/21 10.00 PM;33.21;25.42;1.81;28.66;66;0;0;0;0;0;0;0;0;0;0
7/1/21 12.00 AM;30.53;12.01;1.85;15.31;61;0;0;0;0;0;0;0;0;0;0
7/1/21 2.00 AM;22.95;3.56;0.04;4.08;46;0;0;0;0;0;0;0;0;0;0
7/1/21 4.00 AM;19.54;3.03;0.02;3.53;39;0;0;0;0;0;0;0;0;0;0
7/1/21 6.00 AM;12.70;9.10;0.70;10.63;25;0;0;0;0;0;0;0;0;0;0
7/1/21 8.00 AM;16.12;35.36;33.13;86.61;43;0;0;0;0;0;0;0;0;0;0
7/1/21 10.00 AM;22.47;44.48;31.77;93.64;47;0;0;0;0;0;0;0;0;0;0
7/1/21 2.00 PM;22.71;32.34;13.78;53.92;45;0;0;0;0;0;0;0;0;0;0
7/1/21 4.00 PM;26.62;34.39;16.33;59.88;53;0;0;0;0;0;0;0;0;0;0
7/1/21 6.00 PM;34.68;56.83;70.48;165.35;83;0;0;0;0;0;0;0;0;0;0
7/1/21 8.00 PM;48.60;45.65;21.84;79.59;97;0;0;0;0;0;0;0;0;0;0
